study,Arm,Year,ind_clu,ICC_for_cRCT,Country,Single_multi,Age_mean,Age_sd,Age_n,F_n,Hyp_n,Insomnia diagnosis,Dx,Primary insomnia_n,Comorbidities,Comment,se,sd,cr,th,cw,sr,sc,re,pi,w,dt,ns,he,tg,ind,gp,ff,ae,treatment_component,treatment_group,treatment_binary,duration_weeks,n,r,remission,def_remission_response,scale used,Severity_bl_mean,Severity_bl_sd,Severity_bl_n,Severity_ch_mean,Severity_ch_sd,Severity_ch_n,Severity_ep_mean,Severity_ep_sd,Severity_ep_n,Severity_scale,r_imputed,dropout,SE_mean,SE_sd,SE_n,TST_mean,TST_sd,TST_n,SOL_mean,SOL_sd,SOL_n,WASO_mean,WASO_sd,WASO_n,r_long,remission_long,r_long_scale_used,Severity_mean_long,Severity_sd_long,Severity_n_long,Severity_ch_mean_long,Severity_ch_sd_long,Severity_ch_n_long,r_imputed_long,r_imputed_long_scale_used,r_weeks_long,DropOutRate,Overall
Alshehri2020,HE,2020,Individual,*,USA,single,59.43,9.49,14,7,2,2. informal_ISI,2,0,3. phy_diabetes,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,se+sd+dt+ns+ind+ff,PE,control,6,14,2,*,,,15.71,3.19,14,,,,12.92,6.07,13,ISI,2,1,89.38,5.7,13,325.82,200.12,13,16.1,15.51,13,11.57,13.52,13,*,*,*,*,*,*,*,*,*,*,*,*,7.1,S
Amra2022,Intervention,2022,individual,*,Iran,single,34.6,9.5,31,25,13,2. informal_ISI,2,0,4. psy_phy_mixed,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,se+sd+cr+sr+sc+dt+ns+gp+ff,CBT,active,1,32,18,*,*,*,13.3,3.7,31,,,,6.7,4.5,31,ISI,18,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10.9,H
Amra2022,Control,2022,individual,*,Iran,single,36.6,6.9,26,17,8,2. informal_ISI,2,0,4. psy_phy_mixed,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,dt,NT,control,1,32,4,*,*,*,13.3,4.4,26,,,,13.6,6.3,26,ISI,4,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10.9,H
Arnedt2011,CBTI-AD,2011,individual,*,USA,single,46.2,8.9,9,3,1,2. informal_ISI,2,0,2. psy_substance_dependence,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+dt+ns+ind+ff,CBT,active,8,9,5,5,ISI<8,ISI,16.4,4.1,9,,,,2.8,3.3,6,ISI,6,3,92.4,6.5,6,410,58,6,10,8,6,21,17,6,*,*,*,*,*,*,*,*,*,*,*,*,41.2,H
Arnedt2011,BPT,2011,individual,*,USA,single,46.1,12,8,3,0,2. informal_ISI,2,0,2. psy_substance_dependence,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,se+sd+dt+ns+ind+ff,PE,control,8,8,2,2,ISI<8,ISI,16.8,3.2,8,,,,9.2,5,4,ISI,1,4,72.2,29.3,4,364,172,4,34,28,4,87,109,4,*,*,*,*,*,*,*,*,*,*,*,*,41.2,H
Arnedt2021,CBT-F2F,2021,individual,*,USA,single,50.9,14.5,32,23,14,1. formal_ICSD,1,*,4. psy_phy_mixed,,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,se+sd+cr+cw+sr+sc+re+dt+ns+ind+ff,CBT,active,6,32,16,16,ISI<8,ISI,17.2,3.4,32,,,,7.9,3.4,32,ISI,15,1,84.8,5.8,32,384,54,32,22,14.8,32,46.9,27.4,32,15,15,ISI,8.3,4,32,*,*,*,13,ISI,18,4.6,S
Arnedt2021,CBT-TM,2021,individual,*,USA,single,43.7,17.4,33,23,13,1. formal_ICSD,1,*,4. psy_phy_mixed,,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,se+sd+cr+cw+sr+sc+re+dt+ns+ind,CBT,active,6,33,14,14,ISI<8,ISI,17.5,3.7,33,,,,8.6,5.5,33,ISI,14,2,83.8,7.7,33,384,60,33,22.8,12.9,33,49.3,30,33,14,14,ISI,8.8,5.1,33,*,*,*,13,ISI,18,4.6,S
Arnedt2023,CBT-CB-TM,2023,individual,*,USA,multi,36.7,12,30,23,*,2. informal_ISI,2,0,2. psy_substance_dependence,,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,se+sd+cr+cw+sr+sc+re+dt+ns+ind,CBT,active,8,30,13,13,ISI<8,ISI,17.4,4.5,30,*,*,*,11.1,4.929503018,30,ISI,7,4,76.8,9.859006035,30,402,65.7267069,30,26.7,17.52712184,30,33.6,22.45662486,30,*,*,*,*,*,*,*,*,*,*,*,*,15.8,L
Arnedt2023,SHE-TM,2023,individual,*,USA,multi,38.7,13.7,27,20,*,2. informal_ISI,2,0,2. psy_substance_dependence,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,se+sd+dt+ns+ind,PE,control,8,27,4,4,ISI<8,ISI,16.2,3.8,27,*,*,*,13.4,4.156921938,27,ISI,2,5,76.5,10.91192009,27,438,62.35382907,27,40.6,26.50037736,27,43.5,30.65729929,27,*,*,*,*,*,*,*,*,*,*,*,*,15.8,L
Ashworth2015,CBT-I,2015,individual,*,Australia,multi,37.1,12.8,21,13,*,1. formal_DSM,1,0,2. psy_MDD,,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,se+sd+cr+th+cw+sr+sc+re+pi+ns+ind+ff,CBT,active,8,21,12,12,ISI<8,ISI,18.95,3.528583285,21,*,*,*,7.81,6.186477188,21,ISI,10,0,87.65,6.140651431,21,426.38,48.48365085,21,25.23,11.91469681,21,*,*,*,21,21,ISI,5.5,3.266833329,18,*,*,*,13,ISI,24,2.4,S
Ashworth2015,Self-help,2015,individual,*,Australia,multi,36.4,13.8,20,12,*,1. formal_DSM,1,0,2. psy_MDD,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,se+sd+cr+th+cw+sr+sc+re+pi+w+ns,CBT,active,8,21,2,2,ISI<8,ISI,18.3,5.00879227,21,*,*,*,13.75,6.752925292,20,ISI,4,1,82.93,7.781516562,20,400.84,47.58352656,20,32.96,19.4537914,20,*,*,*,20,20,ISI,14.39,5.43058008,18,*,*,*,2,ISI,24,2.4,S
Ayabe2018,TAU,2018,individual,*,Japan,multi,58.5,16.6,27,16,27,1. formal_DSM,1,27,0. primary_insomnia,,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,se+sd+w+dt+ns+ind+ff,WL,control,10,27,2,2,ISI<8,ISI,16.46,3.47,27,,,,14.33,4.682773023,26,ISI,2,3,,,,,,,,,,,,,1,1,ISI,14.34,4.708788428,26,*,*,*,2,ISI,16,15.7,S
Ayabe2018,CBT-I + TAU,2018,individual,*,Japan,multi,61.2,13.8,24,14,24,1. formal_DSM,1,24,0. primary_insomnia,,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,se+sd+sr+sc+re+dt+ns+ind+ff,BT,active,10,24,6,6,ISI<8,ISI,16.61,4.23,24,,,,10.91,4.991579749,23,ISI,6,5,,,,,,,,,,,,,7,7,ISI,10.17,4.893705636,23,*,*,*,7,ISI,16,15.7,S
Ballou2020,Control,2020,Individual,*,USA,single,49,18,12,10,*,2. informal_ISI,2,0,3. phy_others,,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,sd+w+dt+ns+ind+ff,WL,control,5,12,0,*,,,16.3,2.8,12,,,,14.8,3.9,12,ISI,0,0,76.4,13.8,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12,H
Ballou2020,BBT,2020,Individual,*,USA,single,49,18,10,9,*,2. informal_ISI,2,0,3. phy_others,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+sr+sc+dt+ns+ind+ff,BT,active,5,13,4,*,,,15.7,4.8,10,,,,8.7,3.7,10,ISI,4,3,89.5,8.6,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12,H
Bastein2004,Group,2004,Individual,*,Canada,single,40,10.35,16,11,0,3. others,3,16,0. primary_insomnia,,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,se+sd+cr+sr+sc+ns+gp+ff,CBT,active,8,16,10,*,*,*,16.22,3.19,16,*,*,*,6.22,4.27,16,ISI,10,*,84.47,9.2,16,370.82,43.3,16,25.21,19.72,16,22.37,18.76,16,5,*,*,11.22,6.83,16,*,*,*,5,ISI,24,0,S
Bastein2004,Individual,2004,Individual,*,Canada,single,43.8,9.98,15,11,0,3. others,3,15,0. primary_insomnia,,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,se+sd+cr+sr+sc+ns+ind+ff,CBT,active,8,15,7,*,*,*,20.17,3.66,15,*,*,*,7.83,4.31,15,ISI,7,*,83.6,10.51,15,370.15,51.47,15,14.6,6.49,15,40.95,37.34,15,4,*,*,11.33,6.41,15,*,*,*,4,ISI,24,0,S
Bastein2004,Telephone,2004,Individual,*,Canada,single,41.64,9.49,14,7,0,3. others,3,14,0. primary_insomnia,,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,se+sd+cr+sr+sc+ns+ind,CBT,active,8,14,4,*,*,*,19,5.44,14,*,*,*,11.33,5.85,14,ISI,4,*,82.14,10.18,14,351.46,60.5,14,26.28,20.84,14,21.72,28.39,14,5,*,*,11.17,8.4,14,*,*,*,5,ISI,24,0,S
Behera2023,HMBCT,2023,individual,*,India,single,25.23,4.68,26,0,*,1. formal_Edinger2004,1,*,1. primary_secondary_mixed,,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,se+sd+th+sr+sc+ns+ind+ff,CBT,active,6,26,16,*,ISI<7,ISI,16.33,3.71,26,*,*,*,6.56,2.95,25,ISI,16,1,91.15,2.44,25,411,11.4,25,17.94,5.07,25,16.13,3.77,25,*,*,*,*,*,*,*,*,*,,*,*,4.2,S
Behera2023,Control,2023,individual,*,India,single,23.82,3.01,22,0,*,1. formal_Edinger2004,1,*,1. primary_secondary_mixed,,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,se+sd+sr+sc+re+ns+ind+ff,BT,active,6,22,0,*,ISI<7,ISI,19,3.6,22,*,*,*,14.5,2.9,21,ISI,0,1,84.8,2.5,21,401.4,12.6,21,22.2,5.1,21,37.23,3.8,21,*,*,*,*,*,*,*,*,*,,*,*,4.2,S
Bernstein2017,Intervention,2017,individual,*,USA,single,54.9,13,43,38,*,1. formal_DSM,1,43,0. primary_insomnia,,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,se+sd+cr+th+sr+sc+re+dt+ns+ae,CBT,active,6,43,15,*,*,,17,5.01844785,43,NA,NA,NA,9.8,5.68757423,43,ISI,15,18,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,31.8,H
Bernstein2017,Control,2017,individual,*,USA,single,53.6,12.3,45,36,*,1. formal_DSM,1,45,0. primary_insomnia,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,w+dt,WL,control,6,45,2,*,*,,16.6,4.107063632,45,NA,NA,NA,15.3,4.449318935,45,ISI,2,10,NA,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,31.8,H
Bothelius2013,CBTI,2013,Individual,*,Sweden,multi,48.1,13.2,40,33,11,1. formal_Edinger2004,1,,1. primary_secondary_mixed,,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,se+sd+cr+sr+sc+re+pi+dt+ns+ind+gp,CBT,active,9,40,12,12,combine the group that recovered out of the ISI or SOL/WASO,ISI,19,5.5,32,,,,13.4,6.3,32,ISI,6,14,*,*,*,*,*,*,59.6,71.9,32,54.2,76.6,32,*,*,*,*,*,*,*,*,*,*,*,*,30.8,H
Bothelius2013,WL,2013,Individual,*,Sweden,multi,53,9.4,38,30,9,1. formal_Edinger2004,1,,1. primary_secondary_mixed,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,sd+w+dt,WL,control,9,38,2,2,,ISI,18.1,4.5,36,,,,17.1,3.9,34,ISI,0,10,*,*,*,*,*,*,71.5,43.3,34,96.3,67.9,34,*,*,*,*,*,*,*,*,*,*,*,*,30.8,H
Bramoweth2020,CBTI,2020,individual,*,USA,single,53.4,15.2,32,4,*,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+re+dt+ns+ind+ff,CBT,active,8,32,4,4,ISI<8,ISI,20.6,3.7,32,*,*,*,9.6,4.9,17,ISI,6,15,83.9,6.1,12,410.3,67.6,12,23.5,22,12,27.4,33,12,*,*,*,*,*,*,*,*,*,*,*,*,38.1,H
Bramoweth2020,BBTI,2020,individual,*,USA,single,56.8,13.7,31,2,*,1. formal_DSM,1,*,1. primary_secondary_mixed,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+sr+sc+dt+ns+ind+ff,BT,active,5,31,7,7,ISI<8,ISI,19.8,3.5,31,*,*,*,11,6.5,22,ISI,6,9,84.6,7.8,9,381.6,60,9,20.8,10.9,9,18.5,15.9,9,*,*,*,*,*,*,*,*,*,*,*,*,38.1,H
Broomfield2003,C,2003,individual,*,UK,single,24.35,*,17,10,*,1. formal_ICSD,1,17,0. primary_insomnia,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sd,PE,control,2,17,3,*,*,*,54.67,25.67,16,,,,55.33,29.16,16,SOL,3,1,82.82,12.4,16,*,*,*,55.33,29.16,16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5.9,H
Broomfield2003,PI,2003,individual,*,UK,single,26,*,17,9,*,1. formal_ICSD,1,17,0. primary_insomnia,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,sd+pi+ns+ind+ff,BT,active,2,17,6,*,*,*,65.74,33.97,16,,,,38.24,25.28,16,SOL,6,1,85.79,11.07,16,*,*,*,38.24,25.28,16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5.9,H
Buysse2011,IC,2011,individual,*,USA,single,70.8,7.8,40,28,17,1. formal_DSM,1,40,0. primary_insomnia,,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,se+sd+w+dt+ns+he,WL,control,4,40,35,*,*,*,7.29,3.794733192,40,*,*,*,6.51,3.478505426,40,ESS,35,0,82.25,9.297096321,40,358.39,65.1429198,40,30.17,19.60612149,40,47.67,31.81251326,40,*,*,*,*,*,*,*,*,*,*,*,*,3.7,S
Buysse2011,BBTI,2011,individual,*,USA,single,72.5,6.6,39,26,12,1. formal_DSM,1,41,0. primary_insomnia,,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+sr+sc+dt+ns+ind+ff,BT,active,4,42,35,*,*,*,6.21,3.746998799,39,*,*,*,5.9,3.497198879,39,ESS,35,3,87.33,9.554846938,39,339.47,66.4467787,39,19.71,19.79664365,39,28.02,32.22418967,39,*,*,*,*,*,*,*,*,*,*,*,*,3.7,S
Cai2022,mindfulness,2022,individual,*,China,multi,80,8,38,25,17,2. informal_PSQI,2,0,2. psy_others,MCI,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,th+dt+ns+ind+ff,CT,active,8,38,33,*,*,*,9.39,6.21,38,*,*,*,3,3.888888889,38,ISI,33,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,S
Cai2022,health education,2022,individual,*,China,multi,80,10.8,37,31,16,2. informal_PSQI,2,0,2. psy_others,MCI,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,se+w+dt+ns+ind+ff,WL,control,8,37,19,*,*,*,9.24,7.03,37,*,*,*,7,8.148148148,37,ISI,19,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,S
Cape2016,TAU,2016,individual,*,UK,multi,42.2,13.5,120,79,45,3. others,3,0,2. psy_mixed,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,se+dt+ns+ind+ff,PE,control,5,120,35,*,*,*,-2.4,1.1,120,*,*,*,-3.76,1.91,100,SCI,35,20,57.87,20.23,100,292.15,108.67,100,68.93,47.24,100,143.45,84.36,100,40,*,*,-4.18,2.15,91,*,*,*,40,SCI,20,19.7,S
Cape2016,CBT-I,2016,individual,*,UK,multi,42.2,14.9,119,64,28,3. others,3,0,2. psy_mixed,,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,se+cr+sr+sc+re+dt+ns+gp+ff,CBT,active,5,119,48,*,*,*,-2.6,1.4,119,*,*,*,-4.58,1.91,92,SCI,48,27,70.59,20.25,92,330.38,108.73,92,41.33,47.27,92,92.07,84.43,92,47,*,*,-4.78,2.16,86,*,*,*,47,SCI,20,19.7,S
Carney2017,AD+SH,2017,Individual,*,"Canada, USA",multi,40.11,11.41,35,22,0,1. formal_Edinger2004,1,,2. psy_MDD,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,se+sd+ns+ind+ff,PE,control,8,35,2,2,ISI<8,ISI,30.8,9.81,35,*,*,*,15.3,9.03,35,ISI,7,15,80,6,35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,35.2,H
Carney2017,CBT+AD,2017,Individual,*,"Canada, USA",multi,44.97,9.38,36,20,0,1. formal_Edinger2004,1,,2. psy_MDD,,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,se+sd+cr+sr+sc+ns+ind+ff,CBT,active,8,36,8,8,ISI<8,ISI,26.21,8.61,36,*,*,*,13.23,9.9,36,ISI,10,10,83,8,36,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,35.2,H
Carrera1980,Wait-control,1980,Individual,*,USA,single,*,*,*,12,*,3. others,3,23,0. primary_insomnia,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,w,WL,control,*,23,4,*,*,*,61.74,13.37,23,*,*,*,49.57,21.95,23,SOL,4,0,*,*,*,*,*,*,49.57,21.95,23,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,S
Carrera1980,Ocean tape,1980,Individual,*,USA,single,*,*,*,5,*,3. others,3,16,0. primary_insomnia,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,re+ns,RT,active,*,16,5,*,*,*,56.88,15.04,16,*,*,*,42.19,23.45,16,SOL,5,0,*,*,*,*,*,*,42.19,23.45,16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,S
Casault2015,CTL,2015,Individual,*,Canada,multi,57,9.4,18,16,8,2. informal_ISI,2,0,3. phy_cancer,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,sd+w+dt,WL,control,6,18,4,4,ISI<8,ISI,12.1,5.4,18,*,*,*,11.31,5.515432893,18,ISI,4,2,81.49,9.885352801,18,438.87,65.54879862,18,31.19,20.57680733,18,39.36,38.01406056,18,8,8,ISI,9.67,6.576093065,18,*,*,*,3,ISI,30,15.8,H
Casault2015,mCBT-I,2015,Individual,*,Canada,multi,56.9,10.8,20,19,4,2. informal_ISI,2,0,3. phy_cancer,,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,se+sd+cr+sr+sc+dt+ns+he+tg,CBT,active,6,20,14,14,ISI<8,ISI,12.1,4,20,*,*,*,5.32,2.927404994,17,ISI,13,4,89.72,4.741571469,17,461.78,41.43721154,17,17.24,12.69916533,17,18.01,11.70961998,17,13,13,ISI,5.43,3.958181401,17,*,*,*,3,ISI,30,15.8,H
Chakravorty2019,CBT-I,2019,Individual,*,USA,multi,52,7,11,0,5,2. informal_ISI,2,0,2. psy_substance_dependence,,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,se+sd+cr+sr+sc+dt+ns+ind+ff,CBT,active,8,11,7,11,ISI<8,ISI,18,5.3,11,-12.7,1.428571429,11,5.3,4.9,11,ISI,7,0,*,*,*,392,67.4,11,23.9,25.2,11,19.1,33.7,11,11,11,ISI,4.1,4.9,11,-13.9,1.224489796,11,3,ISI,32,0,S
Chakravorty2019,MO,2019,Individual,*,USA,multi,56,6,11,0,3,2. informal_ISI,2,0,2. psy_substance_dependence,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,sd+dt+ns+ind+ff,PE,control,8,11,2,0,ISI<8,ISI,19.8,5.6,11,-8.4,4.030612245,11,11.4,4.9,11,ISI,2,0,*,*,*,328.3,67.4,11,54.5,25.2,11,32,33.7,11,0,0,ISI,9.3,4.9,11,-10.5,5.051020408,11,3,ISI,32,0,S
Chan2021,WL,2021,Individual,*,Hong Kong,multi,27.26,7.22,153,124,0,1. formal_ICD,1,0,2. psy_MDD,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,w,WL,control,6,153,6,6,ISI<8,ISI,18.52,4.46,153,*,*,*,16.99,4.89,138,ISI,4,15,71.9,21,124,310.8,103.2,124,136.8,123.6,124,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,25,H
Chan2021,Tx,2021,Individual,*,Hong Kong,multi,27.28,7.25,167,109,0,1. formal_ICD,1,0,2. psy_MDD,,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,se+sd+cr+cw+sr+sc+re+ns+ae,CBT,active,6,167,25,25,ISI<8,ISI,18.41,4.28,167,*,*,*,12.25,4.5,102,ISI,15,65,78.55,18.02,94,387,97.8,94,111,100.2,94,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,25,H
